,Open,High,Low,Close,Volume
2024-02-02,140.89,143.88,138.17,143.54,42136127
2024-02-05,144.04,146.67,143.91,144.93,29254444
2024-02-06,145.96,146.74,144.52,145.41,21517655
2024-02-07,146.12,147.0,145.2103,146.68,21436126
2024-02-08,146.97,147.61,146.42,147.22,18241319
2024-02-09,147.95,150.695,147.43,150.22,21877693
2024-02-12,149.54,150.59,148.56,148.73,17236108
2024-02-13,146.07,148.04,145.11,146.37,18138482
2024-02-14,147.37,147.83,145.555,147.14,16651824
2024-02-15,144.46,144.76,141.88,143.94,26724305
2024-02-16,144.21,144.48,141.52,141.76,21865118
2024-02-20,140.94,143.3285,140.8,142.2,18625589
2024-02-21,142.64,143.98,141.91,143.84,16499584
2024-02-22,146.12,146.2,144.01,145.32,23024707
2024-02-23,144.97,145.955,144.79,145.29,14519434
2024-02-26,143.45,143.84,138.74,138.75,33513011
2024-02-27,139.41,140.49,138.5,140.1,22363981
2024-02-28,139.1,139.28,136.64,137.43,30628702
2024-02-29,138.35,139.95,137.57,139.78,35485006
2024-03-01,139.61,140.0,137.975,138.08,28551525
2024-03-04,136.54,136.63,132.86,134.2,43571510
2024-03-05,132.74,134.02,131.55,133.78,28447550
2024-03-06,134.24,134.74,131.95,132.56,23175200
2024-03-07,133.89,135.82,132.66,135.24,24107282
2024-03-08,135.035,138.985,134.8,136.29,26495160
2024-03-11,137.07,139.98,137.07,138.94,22462576
2024-03-12,138.25,140.28,138.21,139.62,18951920
2024-03-13,140.06,142.19,140.01,140.77,19589151
2024-03-14,142.3,144.73,141.485,144.34,35991108
2024-03-15,143.41,144.34,141.1301,142.17,41039494
2024-03-18,149.37,152.93,148.14,148.48,47676689
2024-03-19,148.98,149.62,147.01,147.92,17748367
2024-03-20,148.79,149.76,147.665,149.68,17729996
2024-03-21,150.32,151.305,148.0101,148.74,19843915
2024-03-22,150.24,152.56,150.09,151.77,19252925
2024-03-25,150.95,151.456,148.8,151.15,15114728
2024-03-26,151.24,153.2,151.03,151.7,19312694
2024-03-27,152.145,152.69,150.13,151.94,16621964
2024-03-28,152.0,152.67,151.33,152.26,21105628
2024-04-01,151.83,157.0,151.65,156.5,24416137
2024-04-02,154.75,155.99,153.46,155.87,17549140
2024-04-03,154.92,156.55,154.1321,156.37,16984168
2024-04-04,155.08,156.18,151.88,151.94,23901697
2024-04-05,151.68,154.84,151.081,153.94,16212049
2024-04-08,154.015,156.655,153.99,156.14,16280924
2024-04-09,157.35,159.89,156.64,158.14,21435146
2024-04-10,157.88,158.16,156.2,157.66,16339174
2024-04-11,158.34,161.1199,157.93,160.79,17841703
2024-04-12,159.405,161.7,158.6,159.19,16989765
2024-04-15,160.28,160.83,156.15,156.33,21140948
2024-04-16,155.64,157.23,155.05,156.0,15413201
2024-04-17,157.19,158.681,156.135,156.88,16237752
2024-04-18,156.925,158.485,156.21,157.46,14016065
2024-04-19,157.75,157.99,153.91,155.72,21479881
2024-04-22,156.01,159.185,155.66,157.95,17243870
2024-04-23,158.59,160.48,157.965,159.92,16115408
2024-04-24,159.09,161.39,158.82,161.1,19485694
2024-04-25,153.36,158.28,152.768,157.95,36197789
2024-04-26,175.99,176.42,171.4,173.69,56500787
2024-04-29,170.77,171.38,167.06,167.9,35914561
2024-04-30,167.38,169.87,164.5,164.64,29420755
2024-05-01,166.18,168.81,164.9,165.57,25223245
2024-05-02,166.67,168.53,165.69,168.46,17041119
2024-05-03,169.54,169.85,164.98,168.99,22767056
2024-05-06,169.22,169.9,167.89,169.83,15147906
2024-05-07,170.12,173.47,170.0,172.98,21102434
2024-05-08,170.75,171.9092,170.522,171.16,14569858
2024-05-09,171.15,172.44,169.93,171.58,11937704
2024-05-10,169.69,171.34,167.91,170.29,18740458
2024-05-13,165.847,170.95,165.76,170.9,19648585
2024-05-14,171.59,172.78,170.42,171.93,18729463
2024-05-15,172.3,174.0459,172.03,173.88,20958245
2024-05-16,174.6,176.34,174.05,175.43,17247311
2024-05-17,175.55,177.495,174.98,177.29,16546353
2024-05-20,177.31,179.95,177.225,178.46,17495122
2024-05-21,178.4,179.82,177.31,179.54,14706021
2024-05-22,178.4,178.852,176.7801,178.0,16189404
2024-05-23,178.78,179.91,174.54,175.06,14928363
2024-05-24,176.52,177.3044,175.2,176.33,11403560
2024-05-28,175.74,178.51,175.68,178.02,15655340
2024-05-29,176.81,178.23,176.26,177.4,15023847
2024-05-30,176.69,176.69,173.23,173.56,18844036
2024-05-31,173.4,174.42,170.97,173.96,28085151
2024-06-03,173.88,175.86,172.45,174.42,20742798
2024-06-04,174.45,175.19,173.22,175.13,14066602
2024-06-05,176.535,177.97,175.29,177.07,15233861
2024-06-06,177.43,178.71,177.21,178.35,14255818
2024-06-07,178.46,179.42,175.79,175.95,14716270
2024-06-10,176.45,178.47,174.38,176.63,17122247
2024-06-11,177.72,178.39,175.44,178.19,14402401
2024-06-12,179.75,182.08,177.78,179.56,18600421
2024-06-13,177.84,178.51,176.66,176.74,15956941
2024-06-14,175.852,178.73,175.852,178.37,12361571
2024-06-17,176.98,179.92,176.49,178.78,15272864
2024-06-18,178.79,178.91,175.62,176.45,15640257
2024-06-20,176.71,178.74,176.46,177.71,16753166
2024-06-21,178.49,182.5117,178.06,180.26,59728019
2024-06-24,181.28,182.08,180.23,180.79,18198282
2024-06-25,181.145,185.75,181.105,185.58,18917734
2024-06-26,184.2,185.93,183.99,185.37,13375715
