Date,Price,Open,High,Low,Vol.,Change %
22-02-2024,184.21,182.45,184.55,181.93,5070000,2.51%
23-02-2024,185.72,184.9,186.46,184.57,3430000,0.82%
26-02-2024,184.13,185.6,186.13,184.06,4620000,-0.86%
27-02-2024,184.87,184.16,185.13,182.62,3630000,0.40%
28-02-2024,185.3,184.63,185.37,183.55,3210000,0.23%
29-02-2024,185.03,186.15,186.85,184.69,6440000,-0.15%
01-03-2024,188.2,185.49,188.38,185.18,4020000,1.71%
04-03-2024,193.06,187.76,193.9,187.6,7930000,2.58%
05-03-2024,191.95,192,193.94,190.57,5520000,-0.57%
06-03-2024,196.16,193.5,198.13,192.96,6830000,2.19%
07-03-2024,196.54,197.58,198.73,196.14,4590000,0.19%
08-03-2024,195.95,196.06,197.77,194.38,3940000,-0.30%
11-03-2024,191.73,195.09,195.38,190.88,4730000,-2.15%
12-03-2024,197.78,192.46,199.18,192.15,5860000,3.16%
13-03-2024,196.7,197.55,198.1,195.32,3960000,-0.55%
14-03-2024,193.43,196.95,197.75,192.12,4100000,-1.66%
15-03-2024,191.07,191.99,193.06,190.7,8680000,-1.22%
18-03-2024,191.69,191.7,193.23,190.32,5390000,0.32%
19-03-2024,193.34,191.49,193.58,190.28,5320000,0.86%
20-03-2024,193.96,192.87,193.98,191.31,3220000,0.32%
21-03-2024,191.81,193.04,193.37,190.01,4410000,-1.11%
22-03-2024,190.78,191.98,192.98,190.51,2800000,-0.54%
25-03-2024,188.79,190.22,190.82,188.78,3720000,-1.04%
26-03-2024,188.5,189.12,189.98,188.5,4230000,-0.15%
27-03-2024,190.8,189.57,190.95,188.6,3690000,1.22%
28-03-2024,190.96,191,191.93,190.37,3740000,0.08%
01-04-2024,189.83,190.01,190.46,188.55,2360000,-0.59%
02-04-2024,188.88,189.64,189.75,187.64,2690000,-0.50%
03-04-2024,190.9,188.6,191.35,188.54,2790000,1.07%
04-04-2024,187.94,191.99,193.26,187.38,2920000,-1.55%
05-04-2024,189.14,188.59,190.3,188.02,2010000,0.64%
08-04-2024,189.92,189.26,190.24,188.95,1740000,0.41%
09-04-2024,189.31,190.77,190.77,186.66,2790000,-0.32%
10-04-2024,186.04,187.42,187.91,185.53,3080000,-1.73%
11-04-2024,185.89,186.4,186.79,184.59,2330000,-0.08%
12-04-2024,182.26,184.17,185.17,181.7,2790000,-1.95%
15-04-2024,181.26,185.63,187.48,180.9,2930000,-0.55%
16-04-2024,183.8,184.93,185.19,182.87,3850000,1.40%
17-04-2024,183.04,184.07,184.67,181.79,2310000,-0.41%
18-04-2024,181.4,182.18,183.41,180.25,2360000,-0.90%
19-04-2024,181.61,182.2,182.79,180.57,2400000,0.12%
22-04-2024,181.9,182.46,183.31,180.45,2860000,0.16%
23-04-2024,182.2,182.69,184.68,179.17,5170000,0.16%
24-04-2024,184.13,183.34,184.26,181.54,5710000,1.06%
25-04-2024,168.91,168.68,170.37,165.7,15830000,-8.27%
26-04-2024,167.14,167.02,167.86,165.75,7780000,-1.05%
29-04-2024,167.43,167.25,168.2,166.27,5240000,0.17%
30-04-2024,166.2,166.33,166.73,165.28,3650000,-0.73%
01-05-2024,164.39,165.82,166.27,164.37,3370000,-1.09%
02-05-2024,164.69,164.37,164.83,162.62,3820000,0.18%
03-05-2024,165.71,165,166.61,165,2670000,0.62%
06-05-2024,168.65,166.5,168.65,166.43,3340000,1.77%
07-05-2024,168.41,169.09,169.28,167.95,2410000,-0.14%
08-05-2024,169.88,167.95,170.24,167.95,2900000,0.87%
09-05-2024,166.35,167.17,167.45,165.9,3170000,-2.08%
10-05-2024,167.17,167.12,168.02,166.32,1750000,0.49%
13-05-2024,167.57,167.55,168.06,166.78,1850000,0.24%
14-05-2024,167.36,167.71,168.1,166.48,2600000,-0.13%
15-05-2024,168.21,167.94,168.35,167.36,3340000,0.51%
16-05-2024,168.97,168.32,169.61,167.8,3490000,0.45%
17-05-2024,169.06,168.74,169.06,167.35,1700000,0.05%
20-05-2024,169.92,169.06,170.11,168.51,2720000,0.51%
21-05-2024,173.47,170.05,174.89,170.04,6460000,2.09%
